channelTitle,channelId,videoTitle,videoTitleLoc,videoId,videoSearchCategoryId,videoCategoryId,videoViews,videoQueryTime,videoTrendingRank,captionLang,captionType,id,videoCategory,assignable
Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars Animation: Welcome to the Gift Shop!,Brawl Stars Animation: Welcome to the Gift Shop!,c2u2PvD2iSs,0,20,5164807,2020-09-11 17:25:24,48,it,standard,20,Gaming,True
Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars Animation: Welcome to the Gift Shop!,Brawl Stars Animation: Welcome to the Gift Shop!,c2u2PvD2iSs,0,20,5164807,2020-09-11 17:25:24,48,ja,standard,20,Gaming,True
Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars Animation: Welcome to the Gift Shop!,Brawl Stars Animation: Welcome to the Gift Shop!,c2u2PvD2iSs,0,20,5164807,2020-09-11 17:25:24,48,ko,standard,20,Gaming,True
Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars Animation: Welcome to the Gift Shop!,Brawl Stars Animation: Welcome to the Gift Shop!,c2u2PvD2iSs,0,20,5164807,2020-09-11 17:25:24,48,pl,standard,20,Gaming,True
Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars Animation: Welcome to the Gift Shop!,Brawl Stars Animation: Welcome to the Gift Shop!,c2u2PvD2iSs,0,20,5164807,2020-09-11 17:25:24,48,pt-BR,standard,20,Gaming,True
Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars Animation: Welcome to the Gift Shop!,Brawl Stars Animation: Welcome to the Gift Shop!,c2u2PvD2iSs,0,20,5164807,2020-09-11 17:25:24,48,ru,standard,20,Gaming,True
Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars Animation: Welcome to the Gift Shop!,Brawl Stars Animation: Welcome to the Gift Shop!,c2u2PvD2iSs,0,20,5164807,2020-09-11 17:25:24,48,th,standard,20,Gaming,True
Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars Animation: Welcome to the Gift Shop!,Brawl Stars Animation: Welcome to the Gift Shop!,c2u2PvD2iSs,0,20,5164807,2020-09-11 17:25:24,48,tr,standard,20,Gaming,True
Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars Animation: Welcome to the Gift Shop!,Brawl Stars Animation: Welcome to the Gift Shop!,c2u2PvD2iSs,0,20,5164807,2020-09-11 17:25:24,48,zh-Hans,standard,20,Gaming,True
Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars Animation: Welcome to the Gift Shop!,Brawl Stars Animation: Welcome to the Gift Shop!,c2u2PvD2iSs,0,20,5164807,2020-09-11 17:25:24,48,zh-Hant,standard,20,Gaming,True
Nicole Tv,UCLFbQ3Alf_WI1IuO0cMbtrg,HERE’S MY ADDRESS| VIRTUAL HOUSEWARMING,HERE’S MY ADDRESS| VIRTUAL HOUSEWARMING,OeN9a-WLesc,0,24,377952,2020-09-11 17:25:24,49,en,asr,24,Entertainment,True
TheDooo,UCPKgIhTC3BdkAwMw6s-GEug,Shredding on my new mystery guitar?!,Shredding on my new mystery guitar?!,lYwWp8hdWOI,0,10,855663,2020-09-11 17:25:24,50,en,asr,10,Music,True
Schaffrillas Productions,UC5UYMeKfZbFYnLHzoTJB1xA,Mulan is the Worst Disney Live-Action Remake So Far,Mulan is the Worst Disney Live-Action Remake So Far,L80docjeW5o,0,24,905140,2020-09-11 17:25:24,51,,,24,Entertainment,True
The Late Late Show with James Corden,UCJ0uqCI0Vqr2Rrt1HseGirg,We Cannot Kidnap & Reunite One Direction,We Cannot Kidnap & Reunite One Direction,yjZCBX4O1dM,0,24,652160,2020-09-11 17:25:24,52,en,asr,24,Entertainment,True
The Late Late Show with James Corden,UCJ0uqCI0Vqr2Rrt1HseGirg,We Cannot Kidnap & Reunite One Direction,We Cannot Kidnap & Reunite One Direction,yjZCBX4O1dM,0,24,652160,2020-09-11 17:25:24,52,en,standard,24,Entertainment,True
Doctor Mike,UC0QHWhjbe5fGJEPz3sVb6nw,The Most Offensive Question I’m Asked As A Doctor,The Most Offensive Question I’m Asked As A Doctor,36ACkgJIh4A,0,27,895139,2020-09-11 17:25:24,53,en,asr,27,Education,True
Doctor Mike,UC0QHWhjbe5fGJEPz3sVb6nw,The Most Offensive Question I’m Asked As A Doctor,The Most Offensive Question I’m Asked As A Doctor,36ACkgJIh4A,0,27,895139,2020-09-11 17:25:24,53,en,standard,27,Education,True
Doctor Mike,UC0QHWhjbe5fGJEPz3sVb6nw,The Most Offensive Question I’m Asked As A Doctor,The Most Offensive Question I’m Asked As A Doctor,36ACkgJIh4A,0,27,895139,2020-09-11 17:25:24,53,es,standard,27,Education,True
McDonald's,UCRI5ZedBs0_BYY4PlxD6m7w,The Travis Scott Meal | McDonald’s,The Travis Scott Meal | McDonald’s,8K0lnarZ0oQ,0,1,2258720,2020-09-11 17:25:24,54,en,asr,1,Film & Animation,True
NPR Music,UC4eYXhJI4-7wSWc8UNRwD4A,Phoebe Bridgers: Tiny Desk (Home) Concert,Phoebe Bridgers: Tiny Desk (Home) Concert,2bOigld3D1k,0,10,260178,2020-09-11 17:25:24,55,,,10,Music,True
Breakfast Club Power 105.1 FM,UChi08h4577eFsNXGd3sxYhw,"Tory Lanez Apology To Megan Thee Stallion, ""I Was Drunk""","Tory Lanez Apology To Megan Thee Stallion, ""I Was Drunk""",ZSCf-tvJ138,0,24,594142,2020-09-11 17:25:24,56,en,asr,24,Entertainment,True
BruceSpringsteenVEVO,UCkZu0HAGinESFynhe3R4hxQ,Bruce Springsteen - Letter To You (Official Video),Bruce Springsteen - Letter To You (Official Video),AQyLEz0qy-g,0,10,756127,2020-09-11 17:25:24,57,,,10,Music,True
RuelVEVO,UCIE4WB-8c23GLhtufxZxc_A,Ruel - as long as you care (Official Video),Ruel - as long as you care (Official Video),3ghhxb5txPg,0,10,420910,2020-09-11 17:25:24,58,en,standard,10,Music,True
Andrew Camarata,UCUujfNBK9uv3cIW-P5PX7vA,"Splitting a stump, B quality.","Splitting a stump, B quality.",imEZl0XuKlo,0,2,327455,2020-09-11 17:25:24,59,en,asr,2,Autos & Vehicles,True
Lance Thirtyacre,UCJibHQKGbAb3PT6aCctYg2w,WHY SML GOT SWATTED!!! (Official Video),WHY SML GOT SWATTED!!! (Official Video),tIRx0CzX-DQ,0,23,1925635,2020-09-11 17:25:24,60,en,asr,23,Comedy,True
Star Wars Theory,UC8CbFnDTYkiVweaz8y9wd_Q,We Were ALL Lied To - Daisy Ridley Confirms it,We Were ALL Lied To - Daisy Ridley Confirms it,_Qi_sI9CeNQ,0,24,667817,2020-09-11 17:25:24,61,en,standard,24,Entertainment,True
KOMO News,UC__2_0RJ8XnHt2angfw6S1Q,"Unusual wildfires engulf Washington state, evacuations continue","Unusual wildfires engulf Washington state, evacuations continue",eT4yrRu9A2c,0,25,115445,2020-09-11 17:25:24,62,en,asr,25,News & Politics,True
Xbox,UCjBp_7RuDBUYbd1LegWEJ8g,Xbox Series S - World Premiere Reveal Trailer,Xbox Series S - World Premiere Reveal Trailer,KHLfCFMKxPg,0,20,3404390,2020-09-11 17:25:24,63,en,asr,20,Gaming,True
Xbox,UCjBp_7RuDBUYbd1LegWEJ8g,Xbox Series S - World Premiere Reveal Trailer,Xbox Series S - World Premiere Reveal Trailer,KHLfCFMKxPg,0,20,3404390,2020-09-11 17:25:24,63,en,standard,20,Gaming,True
DanPlan,UC7UGbBVrqLlq6CRxWWUmyKw,DanPlan Animated | Can You Survive A Quiet Place?,DanPlan Animated | Can You Survive A Quiet Place?,gSfq4Wbr264,0,1,322618,2020-09-11 17:25:24,64,en,asr,1,Film & Animation,True
Kylie Jenner,UCWkYXtnAuu7VTLPwUcRSB6A,Behind the Scenes of My Sailor Photoshoot,Behind the Scenes of My Sailor Photoshoot,yYIdRjv94uE,0,22,2643625,2020-09-11 17:25:24,65,en,asr,22,People & Blogs,True
Comethazine,UCmEZts66nKPymVHQv5ZSoBA,Comethazine - Air Max (Official Music Video),Comethazine - Air Max (Official Music Video),0QTTQ8-vxyA,0,10,472433,2020-09-11 17:25:24,66,fr,asr,10,Music,True
Do It On A Dime,UCJA8OyDxRY-wm0ya2gtHOsw,10 DOLLAR TREE HACKS THAT ACTUALLY WORK! (not Pinterest junk!),10 DOLLAR TREE HACKS THAT ACTUALLY WORK! (not Pinterest junk!),KZ78DREcLEs,0,26,258711,2020-09-11 17:25:24,67,en,asr,26,Howto & Style,True
Amelie,UCYAXc8-3YZbau9vC7EyygqQ,BLAKE GRAY MEETS MY MOM *vlog* | Amelie Zilber,BLAKE GRAY MEETS MY MOM *vlog* | Amelie Zilber,RUSnENNpIYA,0,22,1373090,2020-09-11 17:25:24,68,en,asr,22,People & Blogs,True
NBA,UCWJ2lWNubArHWmf3FIHbfcQ,"RAPTORS at CELTICS | FULL GAME HIGHLIGHTS | September 9, 2020","RAPTORS at CELTICS | FULL GAME HIGHLIGHTS | September 9, 2020",65ZRyGBDA2M,0,17,1841232,2020-09-11 17:25:24,69,en,asr,17,Sports,True
Smosh Pit,UCYJPby9DRCteedh5tfxVbrw,Try Not To Laugh Challenge #53,Try Not To Laugh Challenge #53,RAoe0VtwB0o,0,22,1173524,2020-09-11 17:25:24,70,en,asr,22,People & Blogs,True
Smosh Pit,UCYJPby9DRCteedh5tfxVbrw,Try Not To Laugh Challenge #53,Try Not To Laugh Challenge #53,RAoe0VtwB0o,0,22,1173524,2020-09-11 17:25:24,70,en,standard,22,People & Blogs,True
Wallows,UCjNGsoJEu1AnHiP7kOYiXCw,Wallows - Nobody Gets Me (Like You) [Official Video],Wallows - Nobody Gets Me (Like You) [Official Video],nwA3y36pe7w,0,10,521827,2020-09-11 17:25:24,71,en,asr,10,Music,True
Inside Edition,UC9k-yiEpRHMNVOnOi_aQK8w,Sheriff Offers Job to Man Mistaken for Suspected Burglar,Sheriff Offers Job to Man Mistaken for Suspected Burglar,wvCNvf4HbhM,0,25,1511721,2020-09-11 17:25:24,72,,,25,News & Politics,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,am,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,ar,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,en,asr,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,cs,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,da,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,de,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,el,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,en,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,es,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,fa,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,fi,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,fil,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,fr,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,hi,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,hu,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,hy,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,id,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,is,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,it,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,iw,standard,24,Entertainment,True
